Running compare_preferences with the following options:
Using distance function Jensen-Shannon
Using sites [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 436, 437, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 460, 461, 462, 463, 464, 465, 466, 467, 468, 469, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479, 480, 481, 482, 483, 484, 485, 486, 487, 488, 489, 490, 491, 492, 493, 494, 495, 496, 497, 498]
Running in output directory /fh/fast/bloom_j/grp/mapmuts/examples/2015_NP_homolog_comparison/compare_prefs_output/
Performing comparisons between the following pairs of groups:

Comparison #1:
Comparing Aichi/1968 previous study vs Aichi/1968 current study
Preference files for Aichi/1968 previous study: ['Aichi68A_replicate_1_prefs.txt', 'Aichi68A_replicate_2_prefs.txt', 'Aichi68A_replicate_3_prefs.txt', 'Aichi68A_replicate_4_prefs.txt', 'Aichi68B_replicate_1_prefs.txt', 'Aichi68B_replicate_2_prefs.txt', 'Aichi68B_replicate_3_prefs.txt', 'Aichi68B_replicate_4_prefs.txt']
Preference files for Aichi/1968 current study: ['Aichi68C_replicate_1_prefs.txt', 'Aichi68C_replicate_2_prefs.txt']
----------------

Comparison #2:
Comparing Aichi/1968 vs PR/1934
Preference files for Aichi/1968: ['Aichi68A_replicate_1_prefs.txt', 'Aichi68A_replicate_2_prefs.txt', 'Aichi68A_replicate_3_prefs.txt', 'Aichi68A_replicate_4_prefs.txt', 'Aichi68B_replicate_1_prefs.txt', 'Aichi68B_replicate_2_prefs.txt', 'Aichi68B_replicate_3_prefs.txt', 'Aichi68B_replicate_4_prefs.txt', 'Aichi68C_replicate_1_prefs.txt', 'Aichi68C_replicate_2_prefs.txt']
Preference files for PR/1934: ['PR8_replicate_1_prefs.txt', 'PR8_replicate_2_prefs.txt', 'PR8_replicate_3_prefs.txt']
----------------

Comparison #3:
Comparing PR/1934 vs HA
Preference files for PR/1934: ['PR8_replicate_1_prefs.txt_stripped', 'PR8_replicate_2_prefs.txt_stripped', 'PR8_replicate_3_prefs.txt_stripped']
Preference files for HA: ['WSN_HA_rep1_prefs.txt_stripped', 'WSN_HA_rep2_prefs.txt_stripped', 'WSN_HA_rep3_prefs.txt_stripped']
----------------

Beginning comparision: Aichi/1968 previous study vs Aichi/1968 current study
Found r_diff of 0.185921 for scaling parameter of 2.640000.
Found r_diff of 0.188609 for scaling parameter of 2.660000.
Found r_diff of 0.192675 for scaling parameter of 2.680000.
Found r_diff of 0.183766 for scaling parameter of 2.700000.
Found r_diff of 0.187088 for scaling parameter of 2.720000.
Found r_diff of 0.179798 for scaling parameter of 2.740000.
Found r_diff of 0.182629 for scaling parameter of 2.760000.
Found r_diff of 0.181333 for scaling parameter of 2.780000.
Found r_diff of 0.174869 for scaling parameter of 2.800000.
Found r_diff of 0.188430 for scaling parameter of 2.820000.
Found r_diff of 0.173064 for scaling parameter of 2.840000.
Found r_diff of 0.183463 for scaling parameter of 2.860000.
Found r_diff of 0.156198 for scaling parameter of 2.880000.
Found r_diff of 0.178323 for scaling parameter of 2.900000.
Found r_diff of 0.181153 for scaling parameter of 2.920000.
Found r_diff of 0.185506 for scaling parameter of 2.940000.
Found r_diff of 0.176159 for scaling parameter of 2.960000.
Found r_diff of 0.167476 for scaling parameter of 2.980000.
Found r_diff of 0.159332 for scaling parameter of 3.000000.
Found r_diff of 0.171646 for scaling parameter of 3.020000.
Found r_diff of 0.156883 for scaling parameter of 3.040000.
Found r_diff of 0.159938 for scaling parameter of 3.060000.
Found r_diff of 0.157838 for scaling parameter of 3.080000.
Found r_diff of 0.161980 for scaling parameter of 3.100000.
Found r_diff of 0.173876 for scaling parameter of 3.120000.
Found r_diff of 0.167539 for scaling parameter of 3.140000.
Found r_diff of 0.168725 for scaling parameter of 3.160000.
Found r_diff of 0.159219 for scaling parameter of 3.180000.
Found r_diff of 0.153633 for scaling parameter of 3.200000.
Found r_diff of 0.157289 for scaling parameter of 3.220000.
Found r_diff of 0.157742 for scaling parameter of 3.240000.
Found r_diff of 0.161750 for scaling parameter of 3.260000.
Found r_diff of 0.150181 for scaling parameter of 3.280000.
Found r_diff of 0.153435 for scaling parameter of 3.300000.
Found r_diff of 0.150875 for scaling parameter of 3.320000.
Found r_diff of 0.141775 for scaling parameter of 3.340000.
Found r_diff of 0.154941 for scaling parameter of 3.360000.
Found r_diff of 0.148120 for scaling parameter of 3.380000.
Found r_diff of 0.144633 for scaling parameter of 3.400000.
Found r_diff of 0.146123 for scaling parameter of 3.420000.
Found r_diff of 0.148768 for scaling parameter of 3.440000.
Found r_diff of 0.152354 for scaling parameter of 3.460000.
Found r_diff of 0.143871 for scaling parameter of 3.480000.
Found r_diff of 0.148617 for scaling parameter of 3.500000.
Found r_diff of 0.132067 for scaling parameter of 3.520000.
Found r_diff of 0.145665 for scaling parameter of 3.540000.
Found r_diff of 0.140004 for scaling parameter of 3.560000.
Found r_diff of 0.143426 for scaling parameter of 3.580000.
Found r_diff of 0.140867 for scaling parameter of 3.600000.
Found r_diff of 0.135418 for scaling parameter of 3.620000.
Found r_diff of 0.137378 for scaling parameter of 3.640000.
Found r_diff of 0.133097 for scaling parameter of 3.660000.
Found r_diff of 0.124724 for scaling parameter of 3.680000.
Found r_diff of 0.128204 for scaling parameter of 3.700000.
Found r_diff of 0.125376 for scaling parameter of 3.720000.
Found r_diff of 0.132340 for scaling parameter of 3.740000.
Found r_diff of 0.138833 for scaling parameter of 3.760000.
Found r_diff of 0.127821 for scaling parameter of 3.780000.
Found r_diff of 0.127876 for scaling parameter of 3.800000.
Found r_diff of 0.122746 for scaling parameter of 3.820000.
Found r_diff of 0.130195 for scaling parameter of 3.840000.
Found r_diff of 0.134130 for scaling parameter of 3.860000.
Found r_diff of 0.135835 for scaling parameter of 3.880000.
Found r_diff of 0.112683 for scaling parameter of 3.900000.
Found r_diff of 0.126123 for scaling parameter of 3.920000.
Found r_diff of 0.116848 for scaling parameter of 3.940000.
Found r_diff of 0.110344 for scaling parameter of 3.960000.
Found r_diff of 0.119484 for scaling parameter of 3.980000.
Found r_diff of 0.127944 for scaling parameter of 4.000000.
Found r_diff of 0.118243 for scaling parameter of 4.020000.
Found r_diff of 0.114019 for scaling parameter of 4.040000.
Found r_diff of 0.114388 for scaling parameter of 4.060000.
Found r_diff of 0.104248 for scaling parameter of 4.080000.
Found r_diff of 0.107928 for scaling parameter of 4.100000.
Found r_diff of 0.115624 for scaling parameter of 4.120000.
Found r_diff of 0.106205 for scaling parameter of 4.140000.
Found r_diff of 0.121929 for scaling parameter of 4.160000.
Found r_diff of 0.106593 for scaling parameter of 4.180000.
Found r_diff of 0.116168 for scaling parameter of 4.200000.
Found r_diff of 0.100047 for scaling parameter of 4.220000.
Found r_diff of 0.111582 for scaling parameter of 4.240000.
Found r_diff of 0.104537 for scaling parameter of 4.260000.
Found r_diff of 0.106052 for scaling parameter of 4.280000.
Found r_diff of 0.108245 for scaling parameter of 4.300000.
Found r_diff of 0.096541 for scaling parameter of 4.320000.
Found r_diff of 0.097557 for scaling parameter of 4.340000.
Found r_diff of 0.107188 for scaling parameter of 4.360000.
Found r_diff of 0.097335 for scaling parameter of 4.380000.
Found r_diff of 0.103689 for scaling parameter of 4.400000.
Found r_diff of 0.097446 for scaling parameter of 4.420000.
Found r_diff of 0.095600 for scaling parameter of 4.440000.
Found r_diff of 0.096043 for scaling parameter of 4.460000.
Found r_diff of 0.104349 for scaling parameter of 4.480000.
Found r_diff of 0.094190 for scaling parameter of 4.500000.
Found r_diff of 0.092982 for scaling parameter of 4.520000.
Found r_diff of 0.103431 for scaling parameter of 4.540000.
Found r_diff of 0.092678 for scaling parameter of 4.560000.
Found r_diff of 0.094526 for scaling parameter of 4.580000.
Found r_diff of 0.081461 for scaling parameter of 4.600000.
Found r_diff of 0.086232 for scaling parameter of 4.620000.
Found r_diff of 0.088495 for scaling parameter of 4.640000.
Found r_diff of 0.092118 for scaling parameter of 4.660000.
Found r_diff of 0.079890 for scaling parameter of 4.680000.
Found r_diff of 0.084623 for scaling parameter of 4.700000.
Found r_diff of 0.095879 for scaling parameter of 4.720000.
Found r_diff of 0.079115 for scaling parameter of 4.740000.
Found r_diff of 0.075742 for scaling parameter of 4.760000.
Found r_diff of 0.073404 for scaling parameter of 4.780000.
Found r_diff of 0.073515 for scaling parameter of 4.800000.
Found r_diff of 0.074293 for scaling parameter of 4.820000.
Found r_diff of 0.075623 for scaling parameter of 4.840000.
Found r_diff of 0.073073 for scaling parameter of 4.860000.
Found r_diff of 0.086985 for scaling parameter of 4.880000.
Found r_diff of 0.083381 for scaling parameter of 4.900000.
Found r_diff of 0.081202 for scaling parameter of 4.920000.
Found r_diff of 0.080130 for scaling parameter of 4.940000.
Found r_diff of 0.073616 for scaling parameter of 4.960000.
Found r_diff of 0.065224 for scaling parameter of 4.980000.
Found r_diff of 0.069114 for scaling parameter of 5.000000.
Found r_diff of 0.068641 for scaling parameter of 5.020000.
Found r_diff of 0.073227 for scaling parameter of 5.040000.
Found r_diff of 0.066969 for scaling parameter of 5.060000.
Found r_diff of 0.064280 for scaling parameter of 5.080000.
Found r_diff of 0.065726 for scaling parameter of 5.100000.
Found r_diff of 0.059926 for scaling parameter of 5.120000.
Found r_diff of 0.069071 for scaling parameter of 5.140000.
Found r_diff of 0.067230 for scaling parameter of 5.160000.
Found r_diff of 0.070671 for scaling parameter of 5.180000.
Found r_diff of 0.064807 for scaling parameter of 5.200000.
Found r_diff of 0.063302 for scaling parameter of 5.220000.
Found r_diff of 0.060660 for scaling parameter of 5.240000.
Found r_diff of 0.051561 for scaling parameter of 5.260000.
Found r_diff of 0.071753 for scaling parameter of 5.280000.
Found r_diff of 0.058630 for scaling parameter of 5.300000.
Found r_diff of 0.061098 for scaling parameter of 5.320000.
Found r_diff of 0.060141 for scaling parameter of 5.340000.
Found r_diff of 0.063546 for scaling parameter of 5.360000.
Found r_diff of 0.065066 for scaling parameter of 5.380000.
Found r_diff of 0.049288 for scaling parameter of 5.400000.
Found r_diff of 0.058625 for scaling parameter of 5.420000.
Found r_diff of 0.043436 for scaling parameter of 5.440000.
Found r_diff of 0.049841 for scaling parameter of 5.460000.
Found r_diff of 0.057304 for scaling parameter of 5.480000.
Found r_diff of 0.055626 for scaling parameter of 5.500000.
Found r_diff of 0.061546 for scaling parameter of 5.520000.
Found r_diff of 0.047404 for scaling parameter of 5.540000.
Found r_diff of 0.048258 for scaling parameter of 5.560000.
Found r_diff of 0.048169 for scaling parameter of 5.580000.
Found r_diff of 0.058517 for scaling parameter of 5.600000.
Found r_diff of 0.049312 for scaling parameter of 5.620000.
Found r_diff of 0.041623 for scaling parameter of 5.640000.
Found r_diff of 0.049876 for scaling parameter of 5.660000.
Found r_diff of 0.050585 for scaling parameter of 5.680000.
Found r_diff of 0.052377 for scaling parameter of 5.700000.
Found r_diff of 0.039367 for scaling parameter of 5.720000.
Found r_diff of 0.043269 for scaling parameter of 5.740000.
Found r_diff of 0.044450 for scaling parameter of 5.760000.
Found r_diff of 0.043343 for scaling parameter of 5.780000.
Found r_diff of 0.044985 for scaling parameter of 5.800000.
Found r_diff of 0.038651 for scaling parameter of 5.820000.
Found r_diff of 0.038289 for scaling parameter of 5.840000.
Found r_diff of 0.041988 for scaling parameter of 5.860000.
Found r_diff of 0.044642 for scaling parameter of 5.880000.
Found r_diff of 0.042284 for scaling parameter of 5.900000.
Found r_diff of 0.036282 for scaling parameter of 5.920000.
Found r_diff of 0.037610 for scaling parameter of 5.940000.
Found r_diff of 0.050101 for scaling parameter of 5.960000.
Found r_diff of 0.034475 for scaling parameter of 5.980000.
Found r_diff of 0.041381 for scaling parameter of 6.000000.
Found r_diff of 0.033252 for scaling parameter of 6.020000.
Found r_diff of 0.026848 for scaling parameter of 6.040000.
Found r_diff of 0.038625 for scaling parameter of 6.060000.
Found r_diff of 0.036066 for scaling parameter of 6.080000.
Found r_diff of 0.014836 for scaling parameter of 6.100000.
Found r_diff of 0.021373 for scaling parameter of 6.120000.
Found r_diff of 0.030143 for scaling parameter of 6.140000.
Found r_diff of 0.032031 for scaling parameter of 6.160000.
Found r_diff of 0.030658 for scaling parameter of 6.180000.
Found r_diff of 0.018090 for scaling parameter of 6.200000.
Found r_diff of 0.019748 for scaling parameter of 6.220000.
Found r_diff of 0.025646 for scaling parameter of 6.240000.
Found r_diff of 0.021579 for scaling parameter of 6.260000.
Found r_diff of 0.021907 for scaling parameter of 6.280000.
Found r_diff of 0.022832 for scaling parameter of 6.300000.
Found r_diff of 0.027604 for scaling parameter of 6.320000.
Found r_diff of 0.020603 for scaling parameter of 6.340000.
Found r_diff of 0.015445 for scaling parameter of 6.360000.
Found r_diff of 0.014066 for scaling parameter of 6.380000.
Found r_diff of 0.029498 for scaling parameter of 6.400000.
Found r_diff of 0.016405 for scaling parameter of 6.420000.
Found r_diff of 0.029332 for scaling parameter of 6.440000.
Found r_diff of 0.007696 for scaling parameter of 6.460000.
Found scaling parameter of 6.460000 to match average R of 0.501312 for group Aichi/1968 previous study
Found r_diff of 0.533169 for scaling parameter of 1.000000.
Found r_diff of 0.567344 for scaling parameter of 1.020000.
Found r_diff of 0.545537 for scaling parameter of 1.040000.
Found r_diff of 0.559595 for scaling parameter of 1.060000.
Found r_diff of 0.529708 for scaling parameter of 1.080000.
Found r_diff of 0.496366 for scaling parameter of 1.100000.
Found r_diff of 0.493232 for scaling parameter of 1.120000.
Found r_diff of 0.522723 for scaling parameter of 1.140000.
Found r_diff of 0.504988 for scaling parameter of 1.160000.
Found r_diff of 0.542039 for scaling parameter of 1.180000.
Found r_diff of 0.499969 for scaling parameter of 1.200000.
Found r_diff of 0.536764 for scaling parameter of 1.220000.
Found r_diff of 0.521094 for scaling parameter of 1.240000.
Found r_diff of 0.517400 for scaling parameter of 1.260000.
Found r_diff of 0.524860 for scaling parameter of 1.280000.
Found r_diff of 0.494872 for scaling parameter of 1.300000.
Found r_diff of 0.508726 for scaling parameter of 1.320000.
Found r_diff of 0.526659 for scaling parameter of 1.340000.
Found r_diff of 0.502592 for scaling parameter of 1.360000.
Found r_diff of 0.510456 for scaling parameter of 1.380000.
Found r_diff of 0.511234 for scaling parameter of 1.400000.
Found r_diff of 0.512335 for scaling parameter of 1.420000.
Found r_diff of 0.510483 for scaling parameter of 1.440000.
Found r_diff of 0.524391 for scaling parameter of 1.460000.
Found r_diff of 0.504172 for scaling parameter of 1.480000.
Found r_diff of 0.489907 for scaling parameter of 1.500000.
Found r_diff of 0.493804 for scaling parameter of 1.520000.
Found r_diff of 0.488614 for scaling parameter of 1.540000.
Found r_diff of 0.472397 for scaling parameter of 1.560000.
Found r_diff of 0.514800 for scaling parameter of 1.580000.
Found r_diff of 0.518622 for scaling parameter of 1.600000.
Found r_diff of 0.452442 for scaling parameter of 1.620000.
Found r_diff of 0.477605 for scaling parameter of 1.640000.
Found r_diff of 0.452994 for scaling parameter of 1.660000.
Found r_diff of 0.490178 for scaling parameter of 1.680000.
Found r_diff of 0.479395 for scaling parameter of 1.700000.
Found r_diff of 0.444486 for scaling parameter of 1.720000.
Found r_diff of 0.475097 for scaling parameter of 1.740000.
Found r_diff of 0.466323 for scaling parameter of 1.760000.
Found r_diff of 0.497680 for scaling parameter of 1.780000.
Found r_diff of 0.500691 for scaling parameter of 1.800000.
Found r_diff of 0.487979 for scaling parameter of 1.820000.
Found r_diff of 0.481734 for scaling parameter of 1.840000.
Found r_diff of 0.465842 for scaling parameter of 1.860000.
